,target
0,bad
1,bad
2,good
3,bad
4,good
5,bad
6,good
7,bad
8,bad
9,good
10,good
11,good
12,bad
13,bad
14,good
15,bad
16,good
17,bad
18,good
19,good
20,good
21,good
22,good
23,good
24,good
25,good
26,good
27,good
28,good
29,good
30,good
31,good
32,good
33,good
34,good
35,good
36,good
37,bad
38,bad
39,bad
40,good
41,good
42,good
43,good
44,good
45,good
46,good
47,good
48,good
49,good
50,good
51,good
52,bad
53,good
54,bad
55,good
56,good
57,good
58,bad
59,good
60,bad
61,good
62,good
63,good
64,bad
65,good
66,good
67,good
68,bad
69,bad
70,good
71,bad
72,bad
73,good
74,good
75,bad
76,good
77,bad
78,good
79,bad
80,good
81,good
82,good
83,good
84,good
85,good
86,bad
87,bad
88,bad
89,good
90,bad
91,bad
92,good
93,good
94,good
95,good
96,bad
97,good
98,good
99,bad
100,good
101,good
102,good
103,good
104,good
105,bad
106,bad
107,good
108,good
109,good
110,bad
111,good
112,good
113,bad
114,good
115,good
116,bad
117,good
118,bad
119,bad
120,good
121,good
122,bad
123,good
124,good
125,good
126,good
127,bad
128,bad
129,good
130,good
131,good
132,bad
133,good
134,good
135,good
136,bad
137,good
138,good
139,good
140,good
141,good
142,bad
143,good
144,good
145,good
146,bad
147,good
148,good
149,good
150,bad
151,bad
152,good
153,good
154,bad
155,bad
156,good
157,bad
158,good
159,good
160,good
161,bad
162,good
163,good
164,good
165,good
166,good
167,good
168,good
169,good
170,bad
171,good
172,good
173,good
174,good
175,good
176,good
177,good
178,good
179,bad
180,good
181,good
182,good
183,good
184,good
185,good
186,bad
187,good
188,good
189,good
190,good
191,good
192,good
193,good
194,bad
195,bad
196,bad
197,good
198,bad
199,good
200,good
201,good
202,good
203,bad
204,bad
205,good
206,good
207,good
208,good
209,bad
210,good
211,good
212,good
213,good
214,good
215,good
216,good
217,bad
218,good
219,good
220,bad
221,good
222,good
223,good
224,good
225,good
226,good
227,good
228,good
229,good
230,good
231,good
232,good
233,good
234,bad
235,good
236,bad
237,bad
238,good
239,good
240,good
241,good
242,good
243,bad
244,bad
245,good
246,bad
247,good
248,good
249,good
250,bad
251,good
252,good
253,good
254,good
255,bad
256,bad
257,good
258,bad
259,bad
260,bad
261,bad
262,bad
263,good
264,good
265,good
266,good
267,good
268,good
269,bad
270,bad
271,bad
272,good
273,bad
274,good
275,good
276,good
277,good
278,good
279,bad
280,bad
281,good
282,bad
283,good
284,good
285,good
286,good
287,good
288,good
289,good
290,good
291,bad
292,good
293,good
294,good
295,good
296,bad
297,bad
298,good
299,good
300,good
301,good
302,good
303,bad
304,good
305,good
306,good
307,good
308,good
309,bad
310,bad
311,bad
312,bad
313,bad
314,good
315,good
316,good
317,good
318,bad
319,good
320,good
321,good
322,bad
323,good
324,bad
325,good
326,good
327,bad
328,good
329,good
330,bad
331,bad
332,bad
333,good
334,good
335,good
336,good
337,good
338,good
339,bad
340,bad
341,good
342,bad
343,good
344,good
345,good
346,good
347,good
348,good
349,good
350,bad
351,good
352,good
353,good
354,good
355,good
356,good
357,bad
358,good
359,bad
360,bad
361,good
362,bad
363,bad
364,good
365,bad
366,good
367,bad
368,good
369,bad
370,good
371,bad
372,good
373,good
374,bad
375,bad
376,good
377,bad
378,good
379,good
380,bad
381,good
382,bad
383,bad
384,good
385,good
386,good
387,good
388,good
389,bad
390,good
391,bad
392,good
393,bad
394,bad
395,good
396,good
397,bad
398,bad
399,good
400,good
401,bad
402,good
403,good
404,good
405,good
406,bad
407,good
408,good
409,good
410,bad
411,bad
412,bad
413,good
414,good
415,good
416,bad
417,bad
418,good
419,good
420,good
421,good
422,good
423,good
424,good
425,good
426,good
427,good
428,good
429,good
430,bad
431,good
432,good
433,good
434,good
435,good
436,good
437,good
438,good
439,bad
440,bad
441,good
442,bad
443,good
444,bad
445,good
446,good
447,bad
448,good
449,good
450,bad
451,good
452,bad
453,bad
454,good
455,good
456,good
457,good
458,good
459,good
460,good
461,good
462,good
463,bad
464,good
465,bad
466,good
467,good
468,good
469,bad
470,good
471,good
472,bad
473,good
474,good
475,good
476,good
477,good
478,good
479,good
480,good
481,good
482,good
483,good
484,good
485,good
486,good
487,bad
488,good
489,good
490,good
491,good
492,good
493,good
494,good
495,good
496,bad
497,good
498,bad
499,good
500,bad
501,bad
502,good
503,good
504,good
505,good
506,good
507,good
508,bad
509,bad
510,bad
511,good
512,good
513,good
514,good
515,bad
516,good
517,bad
518,good
519,bad
520,bad
521,bad
522,good
523,good
524,good
525,good
526,good
527,good
528,good
529,good
530,good
531,good
532,good
533,good
534,good
535,bad
536,bad
537,bad
538,good
539,bad
540,good
541,good
542,good
543,good
544,good
545,good
546,bad
547,good
548,good
549,bad
550,bad
551,good
552,good
553,good
554,bad
555,good
556,good
557,bad
558,good
559,bad
560,good
561,good
562,good
563,good
564,bad
565,good
566,good
567,bad
568,bad
569,good
570,good
571,good
572,good
573,bad
574,good
575,good
576,good
577,good
578,good
579,good
580,bad
581,good
582,good
583,good
584,good
585,good
586,bad
587,bad
588,bad
589,good
590,bad
591,bad
592,good
593,good
594,good
595,good
596,good
597,good
598,bad
599,bad
600,bad
601,good
602,good
603,good
604,good
605,bad
606,good
607,good
608,good
609,bad
610,bad
611,bad
612,good
613,good
614,good
615,good
616,good
617,good
618,bad
619,bad
620,bad
621,good
622,good
623,good
624,good
625,good
626,good
627,good
628,good
629,good
630,good
631,bad
632,good
633,good
634,bad
635,good
636,bad
637,good
638,good
639,good
640,good
641,good
642,good
643,good
644,good
645,bad
646,good
647,good
648,good
649,good
650,good
651,good
652,good
653,good
654,good
655,good
656,good
657,bad
658,good
659,good
660,bad
661,good
662,good
663,bad
664,good
665,good
666,good
667,good
668,bad
669,bad
670,bad
671,good
672,good
673,good
674,good
675,good
676,good
677,bad
678,good
679,good
680,good
681,good
682,good
683,good
684,bad
685,good
686,good
687,good
688,bad
689,bad
690,good
691,good
692,bad
693,bad
694,bad
695,good
696,good
697,good
698,good
699,good
700,good
701,bad
702,good
703,good
704,good
705,bad
706,good
707,good
708,good
709,good
710,good
711,bad
712,bad
713,good
714,good
715,bad
716,good
717,good
718,bad
719,bad
720,good
721,good
722,bad
723,good
724,good
725,bad
726,good
727,good
728,good
729,good
730,good
731,good
732,good
733,good
734,bad
735,bad
736,good
737,good
738,bad
739,bad
740,bad
741,good
742,good
743,good
744,good
745,bad
746,bad
747,bad
748,good
749,bad
750,good
751,good
752,good
753,good
754,good
755,good
756,bad
757,good
758,bad
759,good
760,bad
761,good
762,good
763,bad
764,bad
765,good
766,bad
767,good
768,good
769,good
770,good
771,bad
772,good
773,bad
774,good
775,bad
776,good
777,good
778,bad
779,bad
780,good
781,good
782,good
783,good
784,good
785,bad
786,good
787,good
788,good
789,bad
790,good
791,bad
792,good
793,bad
794,good
795,bad
796,good
797,good
798,bad
799,good
